id,name,type,party,age,sex
PLA,Platzeck,0,2,3,1
POF,Pofalla,0,0,3,1
PRA,Praetorius,0,NA,NA,2
TIL,Tillich,0,0,3,1
HAS,Hasselfeldt,0,2,3,2
KAM,Kampeter,0,0,2,1
KAP,Kapferer,0,6,2,1
KEM,Kempf,0,NA,3,1
NEM,Nemat,0,NA,2,2
REI,Reiche,0,0,1,2
ROE,Roestel,0,4,2,2
SCH,Schweitzer,0,NA,2,1
GRO,Grothus,0,NA,2,2
WOD,Wodtke,0,0,3,2
HEM,Herntier,0,NA,3,2
"KRE
",Kreuzberg,0,0,3,1
"PRI
",Priggen,0,4,2,1
VAS,Vassiliadis,0,1,2,1
SCHN,Schneidt,0,1,2,1
KOE,Koerzell,0,1,2,1
KAI,Kaiser,0,NA,2,1
WEI,Weiger,0,NA,3,1
NIE,Niebert,0,NA,1,1
ALL,Allmendinger,0,NA,3,2
MAT,Matthes,0,NA,2,2
SCHE,Schellnhuber,0,NA,3,1
NIEB,Niebuhr,0,NA,NA,2
WEH,Wehrspohn,0,NA,1,1
LAE,Laemmel,0,0,2,1
"LEN
",Lenz,0,2,1,1
MIE,Miersch,0,1,1,1
POL,Politik,1,NA,NA,NA
VERB,Verband,1,NA,NA,NA
GWS,Gewerkschaft,1,NA,NA,NA
UWS,Umweltschutz,1,NA,NA,NA
"IND
",Industrie,1,NA,NA,NA
EGU,Energieunternehmen,1,NA,NA,NA
WIS,Wissenschaft,1,NA,NA,NA
REV,Regionalvertreter,1,NA,NA,NA
CDU,CDU,1,NA,NA,NA
CSU,CSU,1,NA,NA,NA
SPD,SPD,1,NA,NA,NA
GRU,Gruene,1,NA,NA,NA
SOZ,Sozialwesen,1,NA,NA,NA
FDP,FDP,1,NA,NA,NA